CGPA,Chance of Admit 
9.65,0.92
8.87,0.76
8,0.72
8.67,0.8
8.21,0.65
9.34,0.9
8.2,0.75
7.9,0.68
8,0.5
8.6,0.45
8.4,0.52
9,0.84
9.1,0.78
8,0.62
8.2,0.61
8.3,0.54
8.7,0.66
8,0.65
8.8,0.63
8.5,0.62
7.9,0.64
8.4,0.7
9.5,0.94
9.7,0.95
9.8,0.97
9.6,0.94
8.8,0.76
7.5,0.44
7.2,0.46
7.3,0.54
8.1,0.65
8.3,0.74
9.4,0.91
9.6,0.9
9.8,0.94
9.2,0.88
8.4,0.64
7.8,0.58
7.5,0.52
7.7,0.48
8,0.46
8.2,0.49
8.5,0.53
9.1,0.87
9.4,0.91
9.1,0.88
9.3,0.86
9.7,0.89
8.85,0.82
8.4,0.78
8.3,0.76
7.9,0.56
8,0.78
8.1,0.72
8,0.7
7.7,0.64
7.4,0.64
7.6,0.46
6.8,0.36
8.3,0.42
8.1,0.48
8.2,0.47
8.2,0.54
8.5,0.56
8.7,0.52
8.92,0.55
9.02,0.61
8.64,0.57
9.22,0.68
9.16,0.78
9.64,0.94
9.76,0.96
9.45,0.93
9.04,0.84
8.9,0.74
8.56,0.72
8.72,0.74
8.22,0.64
7.54,0.44
7.36,0.46
8.02,0.5
9.5,0.96
9.22,0.92
9.36,0.92
